stat_date,北京-实派,北京-应派,大连-实派,大连-应派,广州-实派,广州-应派,合肥-实派,合肥-应派,苏州-实派,苏州-应派
20170101,80,210,31,63,32,51,57,114,42,51
20170102,70,204,53,45,15,36,38,156,51,42
20170103,81,342,63,87,12,63,81,171,45,60
20170104,76,249,41,57,18,42,56,126,49,69
20170105,81,357,45,72,25,63,56,156,49,87
20170106,101,339,52,72,26,39,63,210,41,45
20170107,72,288,45,72,16,36,51,105,41,48
20170108,17,12,0,0,0,0,7,3,0,0
20170109,0,0,0,0,0,0,0,0,7,0
20170110,49,138,34,60,11,21,38,93,46,57
20170111,63,342,31,90,10,60,44,153,43,57
20170112,44,252,18,60,14,57,23,126,51,51
20170113,45,318,18,39,12,42,22,96,22,30
20170114,35,213,13,36,12,48,18,90,18,30
20170115,20,156,5,27,3,42,11,63,16,21
20170116,16,159,1,45,2,24,4,72,37,45
20170117,12,177,1,15,2,9,2,39,16,21
20170118,4,93,1,18,2,18,1,78,7,15
20170119,5,132,0,27,3,30,1,42,3,27
20170120,3,54,0,6,1,18,0,24,2,18
20170121,0,0,0,0,0,0,0,0,0,0
20170122,0,0,0,0,0,0,0,0,0,0
20170123,0,0,0,0,0,0,0,0,0,0
20170124,0,0,0,0,0,0,0,0,0,0
20170125,0,0,0,0,0,0,0,0,0,0
20170126,0,0,0,0,0,0,0,0,0,0
20170127,0,0,0,0,0,0,0,0,0,0
20170128,0,0,0,0,0,0,0,0,0,0
20170129,0,0,0,0,0,0,0,0,0,0
20170130,0,0,0,0,0,0,0,0,0,0
20170131,0,0,0,0,0,0,0,0,0,0
20170201,0,0,0,0,0,0,0,0,0,0
20170202,0,0,0,0,0,0,0,0,0,0
20170203,3,741,0,117,0,78,0,204,3,144
20170204,12,687,39,129,4,93,1,246,31,105
20170205,17,474,40,117,7,102,22,201,41,75
20170206,33,384,39,102,24,111,44,165,70,81
20170207,78,414,50,102,23,93,62,156,71,87
20170208,88,393,62,108,27,81,47,165,56,78
20170209,99,594,51,105,27,84,67,210,75,90
20170210,113,786,63,177,28,78,85,318,99,126
20170211,115,510,69,123,35,48,103,207,95,126
20170212,122,462,64,117,28,57,89,210,70,111
20170213,138,516,57,108,50,69,77,132,105,117
20170214,145,384,69,87,49,90,84,162,73,87
20170215,168,360,85,123,53,81,92,210,74,111
20170216,163,624,71,135,79,129,99,336,57,102
20170217,269,684,79,138,71,156,126,294,83,147
20170218,260,582,81,114,87,111,121,300,94,117
20170219,197,381,64,93,55,78,101,174,90,114
20170220,228,408,43,84,78,96,87,183,78,117
20170221,173,396,38,84,56,78,75,210,77,108
20170222,172,309,50,69,52,72,80,210,98,144
20170223,198,618,69,102,59,111,105,279,86,93
20170224,248,639,75,111,67,111,112,324,84,87
20170225,224,531,76,105,91,114,103,246,55,69
20170226,176,381,52,60,65,66,99,183,50,66
20170227,221,480,66,102,56,87,92,234,78,108
20170228,189,405,63,84,56,81,86,189,73,96
20170301,218,468,42,69,57,114,94,192,65,84
20170302,215,711,68,105,67,102,130,294,71,84
20170303,247,573,71,93,96,102,140,357,77,93
20170304,237,489,50,66,105,117,96,237,56,81
20170305,173,396,43,75,62,81,122,219,73,75
20170306,210,402,38,51,57,81,122,225,86,114
20170307,257,444,48,72,58,69,110,186,74,78
20170308,236,360,38,51,61,72,119,207,43,48
20170309,237,546,41,51,63,78,138,285,54,60
20170310,285,531,64,87,82,114,156,258,56,63
20170311,238,390,62,87,79,96,112,234,52,66
20170312,223,369,24,45,68,126,105,186,55,78
20170313,226,375,52,63,77,87,108,198,48,57
20170314,258,432,41,57,76,81,103,141,57,75
20170315,258,378,41,75,70,87,101,192,63,96
20170316,246,528,30,78,75,120,130,222,66,75
20170317,279,540,51,60,64,87,127,255,58,81
20170318,250,393,41,63,79,126,114,219,54,72
20170319,229,435,49,78,70,99,108,147,52,69
20170320,255,363,58,63,86,117,106,183,88,105
20170321,251,327,41,69,71,81,73,114,64,78
20170322,246,300,58,78,57,69,84,183,67,72
20170323,224,402,82,114,81,117,121,276,72,96
20170324,256,369,77,99,88,135,146,333,65,93
20170325,233,321,37,57,80,90,99,234,45,45
20170326,210,321,35,60,67,69,83,153,54,57
20170327,232,360,59,75,75,108,79,171,52,63
20170328,249,369,58,66,55,75,93,138,41,72
20170329,244,384,47,72,55,60,109,180,51,75
20170330,267,333,56,66,73,102,109,210,55,81
20170331,242,453,58,84,74,129,116,216,57,78
20170401,238,378,57,72,77,120,87,138,70,75
20170402,240,369,56,69,60,87,86,180,54,63
20170403,230,348,55,63,69,111,68,186,52,57
20170404,242,345,47,75,67,90,66,141,38,60
20170405,253,348,55,54,62,78,110,216,61,81
20170406,264,471,63,84,66,123,132,294,68,78
20170407,274,480,41,66,77,105,152,252,39,39
20170408,242,282,54,72,66,75,143,174,44,63
20170409,253,312,32,54,66,81,140,168,36,42
20170410,286,309,36,60,74,78,125,204,36,63
20170411,247,255,54,69,59,78,99,120,41,54
20170412,228,243,41,57,59,72,84,147,46,51
20170413,277,372,71,105,59,129,151,219,44,54
20170414,311,426,49,57,90,105,130,171,36,45
20170415,296,279,55,75,73,102,113,198,41,45
20170416,275,288,39,60,75,105,116,150,35,42
20170417,268,357,47,57,75,87,116,168,36,39
20170418,267,282,51,54,54,45,104,186,42,60
20170419,284,321,34,57,66,90,80,129,24,27
20170420,268,390,62,84,55,87,131,246,22,24
20170421,271,387,50,63,67,87,151,180,40,45
20170422,298,291,32,30,64,66,149,192,29,45
20170423,247,282,44,60,51,69,140,192,50,54
20170424,277,324,38,48,63,84,164,225,28,33
20170425,246,264,50,72,61,63,124,147,42,60
20170426,223,273,53,69,49,72,98,147,25,36
20170427,261,351,70,111,53,69,146,234,58,60
20170428,273,321,70,75,60,78,139,219,41,54
